"id","year","EMPL","AV","STAF","TURN","TOAS","nacerev1primarycode","year_inc","industry_code","industry","industry_factor","individual_labor_share","year_inc_numeric","lnY","lnL","lnK"
"PL0041",1997,50,3639,851,34658,13315,2442,"1989",24,1,"manufacturing",0.233855454795273,1989,8.19946419761216,3.91202300542815,9.49664649824803
"PL0041",1999,303,5599,2521,19518,16349,2442,"1989",24,1,"manufacturing",0.450258974816932,1989,8.63034328934889,5.71373280550937,9.70192201237541
"PL0041",1998,247,4870,1716,29629,15964,2442,"1989",24,1,"manufacturing",0.352361396303901,1989,8.49084921607663,5.50938833662798,9.67809146616862
"PL0056",1999,82,958,824,7055,3407,5142,"1957",51,2,"services",0.860125260960334,1957,6.86484777797086,4.40671924726425,8.13358741766097
"PL0056",2001,80,667,870,6172,3201,5142,"1957",51,2,"services",1.30434782608696,1957,6.50279004591562,4.38202663467388,8.07121853996986
"PL0060",1999,70,677,508,13527,4985,5030,"1988",50,2,"services",0.750369276218611,1988,6.51767127291227,4.24849524204936,8.51418868239594
"PL0060",2000,88,788,660,17045,5764,5030,"1988",50,2,"services",0.83756345177665,1988,6.66949808985788,4.47733681447821,8.65938695711941
"PL0060",1998,62,599,457,21884,4049,5030,"1988",50,2,"services",0.762938230383973,1988,6.39526159811545,4.12713438504509,8.30622521603216
"PL0060",2001,88,1133,684,17199,5172,5030,"1988",50,2,"services",0.603706972639012,1988,7.03262426102801,4.47733681447821,8.55101473989175
"PL0060",1996,50,711,327,16699,2351,5030,"1988",50,2,"services",0.459915611814346,1988,6.56667242980324,3.91202300542815,7.76259604854007
"PL0074",2000,152,2700,1546,9377,24139,5114,"1950",51,2,"services",0.572592592592593,1950,7.90100705199242,5.02388052084628,10.0915840687728
"PL0074",1997,189,3957,1339,13472,24843,5114,"1950",51,2,"services",0.338387667424817,1950,8.28324144138542,5.24174701505964,10.1203313017018
"PL0074",1999,151,4777,1471,8777,23293,5114,"1950",51,2,"services",0.307933849696462,1950,8.47156801338996,5.01727983681492,10.0559081652314
"PL0079",1999,177,320,748,1095,2160,3230,"1945",32,1,"manufacturing",2.3375,1945,5.76832099579377,5.17614973257383,7.67786350067821
"PL0079",1997,290,1611,1725,5482,6838,3230,"1945",32,1,"manufacturing",1.0707635009311,1945,7.38461038317697,5.66988092298052,8.83025057019925
"PL0079",1996,713,1648,1968,10045,13323,3230,"1945",32,1,"manufacturing",1.19417475728155,1945,7.40731771046942,6.5694814204143,9.49724714396021
"PL0079",1998,227,1856,880,3021,3487,3230,"1945",32,1,"manufacturing",0.474137931034483,1945,7.52617891334615,5.4249500174814,8.15679704667565
"PL0082",1997,315,1578,662,6351,5456,6340,"1989",63,2,"services",0.419518377693283,1989,7.36391350140582,5.75257263882563,8.6044711995233
"PL0082",1998,405,2309,889,9017,5773,6340,"1989",63,2,"services",0.38501515807709,1989,7.7445698093545,6.00388706710654,8.66094715506093
"PL0082",1996,205,1015,609,4367,4835,6340,"1989",63,2,"services",0.6,1989,6.92264389147589,5.32300997913841,8.48363640788739
"PL0082",1999,425,2890,1343,9318,4720,6340,"1989",63,2,"services",0.464705882352941,1989,7.96901178110648,6.05208916892442,8.4595640785796
"PL0083",1996,535,4103,2617,68830,14916,1571,"1946",15,1,"manufacturing",0.63782598098952,1946,8.31947369244219,6.28226674689601,9.61018974129871
"PL0090",1999,132,543,144,12259,33282,5248,"1983",52,2,"services",0.265193370165746,1983,6.29710931993394,4.88280192258637,10.4127719892833
"PL0090",1998,153,1048,631,14997,3880,5248,"1983",52,2,"services",0.602099236641221,1983,6.95463886488099,5.03043792139244,8.26359043261732
"PL0090",1996,213,1914,832,21459,4846,5248,"1983",52,2,"services",0.434691745036573,1983,7.5569505720129,5.36129216570943,8.48590890137647
"PL0090",2000,122,928,613,11925,2742,5248,"1983",52,2,"services",0.660560344827586,1983,6.8330317327862,4.80402104473326,7.91644286012226
"PL0090",1997,184,1391,719,16160,4388,5248,"1983",52,2,"services",0.516894320632638,1983,7.23777819192344,5.21493575760899,8.38662882139512
"PL0094",1999,92,2356,586,8687,7168,2840,"1990",28,1,"manufacturing",0.248726655348048,1990,7.76472054477148,4.52178857704904,8.87738195465477
"PL0094",1997,98,3060,599,10668,8636,2840,"1990",28,1,"manufacturing",0.195751633986928,1990,8.02617019494643,4.58496747867057,9.0636947916347
"PL0110",2000,346,2450,1947,9634,5665,2522,"1898",25,1,"manufacturing",0.79469387755102,1898,7.80384330353877,5.84643877505772,8.64206217346211
"PL0110",1997,476,1690,1754,11449,5504,2522,"1898",25,1,"manufacturing",1.03786982248521,1898,7.43248380791712,6.16541785423142,8.61323037961318
"PL0110",1999,356,2377,1892,9099,5055,2522,"1898",25,1,"manufacturing",0.795961295750947,1898,7.77359446736019,5.87493073085203,8.52813313145457
"PL0110",1998,396,2232,1746,10264,5431,2522,"1898",25,1,"manufacturing",0.782258064516129,1898,7.7106533235012,5.98141421125448,8.59987855803485
"PL0110",2001,346,1659,1903,9126,4710,2522,"1898",25,1,"manufacturing",1.14707655213984,1898,7.41397029019044,5.84643877505772,8.45744318701046
"PL0110",1996,683,435,2140,14648,7391,2522,"1898",25,1,"manufacturing",4.91954022988506,1898,6.07534603108868,6.52649485957079,8.90801832278489
"PL0112",2000,203,3131,2209,8593,6682,2420,"1945",24,1,"manufacturing",0.705525391248802,1945,8.04910772132641,5.31320597904179,8.8071726229167
"PL0112",1999,191,3511,1868,9595,6664,2420,"1945",24,1,"manufacturing",0.532042153232697,1945,8.16365617616843,5.25227342804663,8.80447518384668
"PL0112",1996,211,2897,1527,9488,9695,2420,"1945",24,1,"manufacturing",0.527096996893338,1945,7.97143099776935,5.35185813347607,9.17936556767675
"PL0113",1997,1061,4820,4047,13532,18317,2862,"1989",28,1,"manufacturing",0.839626556016598,1989,8.48052920704465,6.96696713861398,9.81558486936022
"PL0140",2000,811,6311,5292,20772,18471,6340,"1858",63,2,"services",0.838535889716368,1858,8.75004942158424,6.69826805411541,9.82395721357932
"PL0140",1999,810,6069,4937,18064,18276,6340,"1858",63,2,"services",0.813478332509474,1858,8.71094912583585,6.69703424766648,9.81334400268316
"PL0145",1998,1739,7316,11020,151343,54758,2710,"1840",27,1,"manufacturing",1.50628758884636,1840,8.89781900951076,7.46106551435428,10.9106787557259
"PL0145",1997,2338,17807,11787,136186,63311,2710,"1840",27,1,"manufacturing",0.661930701409558,1840,9.78734691740132,7.75705114203201,11.0558143687064
"PL0145",1996,2635,3772,13439,149162,68725,2710,"1840",27,1,"manufacturing",3.56283138918346,1840,8.23536064375335,7.87663846097546,11.1378683130334
"PL0145",2000,907,10151,6858,125756,47358,2710,"1840",27,1,"manufacturing",0.675598463205595,1840,9.22532750178443,6.81014245011514,10.7654910389365
"PL0145",1999,1229,10547,8452,77723,45221,2710,"1840",27,1,"manufacturing",0.801365317151797,1840,9.26359673827661,7.11395610956603,10.7193168596962
"PL0150",1999,17020,93855,98661,543974,663486,2710,"1949",27,1,"manufacturing",1.05120664855362,1949,11.4495063171006,9.74214440212737,13.4052630323057
"PL0150",2000,12312,179164,78975,773372,636682,2710,"1949",27,1,"manufacturing",0.440797258377799,1949,12.0960568664842,9.41832967551871,13.3640255948343
"PL0150",1997,17265,105925,53449,550955,819989,2710,"1949",27,1,"manufacturing",0.504592872315317,1949,11.5704865754948,9.75643660982409,13.6170462045163
"PL0150",1998,17050,172611,92594,834823,831125,2710,"1949",27,1,"manufacturing",0.536431629502175,1949,12.0587957867711,9.74390548271166,13.6305354837048
"PL0156",1998,174,1626,1256,14149,11712,5170,"1985",51,2,"services",0.772447724477245,1985,7.39387829010776,5.15905529921453,9.36836923620109
"PL0156",2001,147,374,1035,8536,5674,5170,"1985",51,2,"services",2.76737967914439,1985,5.92425579741453,4.99043258677874,8.6436496153688
"PL0156",1996,145,2029,1010,13096,11754,5170,"1985",51,2,"services",0.497782158698866,1985,7.61529833982581,4.97673374242057,9.3719488871726
"PL0159",2000,203,2998,2497,6531,8589,7310,"1952",73,2,"services",0.83288859239493,1952,8.00570067866254,5.31320597904179,9.05823759376623
"PL0165",1997,415,22251,4658,444842,199095,5152,"1951",51,2,"services",0.209338906116579,1951,10.0101422304047,6.0282785202307,12.2015373767284
"PL0195",2001,226,3246,2181,61365,14285,5170,"1987",51,2,"services",0.671903881700554,1987,8.08517874807454,5.42053499927229,9.56696531466487
"PL0195",1999,260,2336,1878,49587,10351,5170,"1987",51,2,"services",0.803938356164384,1987,7.75619534394812,5.56068163101553,9.24483841238375
"PL0204",1997,228,1938,1030,9967,5876,7415,"1945",74,2,"services",0.531475748194014,1945,7.56941179245071,5.42934562895444,8.67863153729377
"PL0216",1999,263,1155,1771,7317,5020,2452,"1924",24,1,"manufacturing",1.53333333333333,1924,7.05185562295589,5.57215403217776,8.52118521268578
"PL0216",1997,428,2963,1894,14064,6805,2452,"1924",24,1,"manufacturing",0.639217009787378,1924,7.99395754757357,6.0591231955818,8.82541291508557
"PL0216",1998,415,1427,1972,11907,6248,2452,"1924",24,1,"manufacturing",1.38192011212334,1924,7.26332961747684,6.0282785202307,8.74001669151952
"PL0218",1998,472,1656,1562,23991,4950,5170,"1988",51,2,"services",0.943236714975845,1988,7.4121603349452,6.15697898558556,8.50714285556274
"PL0227",1998,163,3696,1461,22413,37542,5161,"1949",51,2,"services",0.395292207792208,1949,8.21500643276157,5.09375020080676,10.5332155852264
"PL0227",1999,166,3191,1889,14947,32400,5161,"1949",51,2,"services",0.591977436540269,1949,8.06808962627824,5.11198778835654,10.3859137017804
"PL0227",1997,171,3236,1337,21905,37541,5161,"1949",51,2,"services",0.413164400494438,1949,8.08209327817838,5.14166355650266,10.5331889480382
"PL0229",1997,812,1954,2758,17391,6918,3002,"1975",30,1,"manufacturing",1.4114636642784,1975,7.57763383260273,6.69950034016168,8.84188198949711
"PL0229",1998,719,505,2497,16617,6642,3002,"1975",30,1,"manufacturing",4.94455445544554,1975,6.22455842927536,6.57786135772105,8.80116840193669
"PL0229",1996,943,6990,3217,20431,9950,3002,"1975",30,1,"manufacturing",0.460228898426323,1975,8.85223583522786,6.84906628263346,9.20532783015264
"PL0230",2000,132,2865,1362,12434,22633,5144,"1949",51,2,"services",0.475392670157068,1949,7.96032362914884,4.88280192258637,10.0271642972297
"PL0230",1999,146,3277,1964,14858,25053,5144,"1949",51,2,"services",0.599328654256942,1949,8.09468364869882,4.98360662170834,10.1287488598213
"PL0230",2001,132,990,1079,7129,17009,5144,"1949",51,2,"services",1.08989898989899,1949,6.89770494312864,4.88280192258637,9.74149789471409
"PL0230",1996,230,4680,1600,23995,30866,5144,"1949",51,2,"services",0.341880341880342,1949,8.45105338891169,5.4380793089232,10.3374105334608
"PL0242",2000,1300,8422,7882,32026,19208,2461,"1874",24,1,"manufacturing",0.935882213251009,1874,9.03860260872187,7.17011954344963,9.86308213790109
"PL0242",1997,1678,11324,7594,38351,22183,2461,"1874",24,1,"manufacturing",0.670611091487107,1874,9.33467964623179,7.42535788702715,10.0070815087462
"PL0258",2000,277,13055,3283,39293,34967,2872,"1990",28,1,"manufacturing",0.251474530831099,1990,9.47692648113323,5.62401750618734,10.4621600385593
"PL0258",1999,287,8397,3014,36148,35134,2872,"1990",28,1,"manufacturing",0.358937715850899,1990,9.03562977818356,5.65948221575962,10.4669246015733
"PL0259",1999,1762,13164,10359,104052,78300,2414,"1946",24,1,"manufacturing",0.786918869644485,1946,9.48524111006323,7.47420480649612,11.2683028819789
"PL0259",1997,1917,15407,10303,121811,80587,2414,"1946",24,1,"manufacturing",0.668722009476212,1946,9.64257723058178,7.55851674304564,11.2970926251635
"PL0264",1997,218,1236,776,2532,2174,3210,"1926",32,1,"manufacturing",0.627831715210356,1926,7.11963563801764,5.38449506278909,7.68432406768116
"PL0265",2000,11,2509,230,3525,16413,7020,"1992",70,2,"services",0.091669988043045,1992,7.82763954636642,2.39789527279837,9.70582898273194
"PL0271",1998,652,15437,7056,140884,55443,2451,"1945",24,1,"manufacturing",0.457083630239036,1945,9.64452250418184,6.48004456192665,10.9231107449539
"PL0271",1997,534,12001,4040,104056,410633,2451,"1945",24,1,"manufacturing",0.336638613448879,1945,9.39274525863144,6.2803958389602,12.9254551505274
"PL0271",2001,679,29313,13257,175874,94596,2451,"1945",24,1,"manufacturing",0.45225667792447,1945,10.2857863826125,6.5206211275587,11.4573704708479
"PL0271",1999,679,20528,8794,152357,54500,2451,"1945",24,1,"manufacturing",0.428390491036633,1945,9.92954508685542,6.5206211275587,10.9059559806513
"PL0271",2000,679,22939,11127,168533,62618,2451,"1945",24,1,"manufacturing",0.48506909629888,1945,10.0405937977541,6.5206211275587,11.0448080556926
"PL0271",1996,442,3884,3796,84746,53808,2451,"1945",24,1,"manufacturing",0.977342945417096,1945,8.26462082941122,6.0913098820777,10.8931774339801
"PL0272",1999,658,8938,9993,107351,56666,2451,"1947",24,1,"manufacturing",1.11803535466547,1947,9.0980671294934,6.48920493132532,10.9449296625892
"PL0272",1997,768,5436,3626,74027,43137,2451,"1947",24,1,"manufacturing",0.667034584253127,1947,8.60079877527103,6.64378973314767,10.6721363764959
"PL0272",1998,791,12136,5036,110549,63109,2451,"1947",24,1,"manufacturing",0.414963744232037,1947,9.40393152102837,6.67329796776765,11.0526186691034
"PL0273",1999,157,1039,709,3908,2512,2451,"1945",24,1,"manufacturing",0.682386910490857,1945,6.94601399109923,5.05624580534831,7.82883452758809
"PL0273",2001,147,1036,696,5234,3193,2451,"1945",24,1,"manufacturing",0.671814671814672,1945,6.94312242281943,4.99043258677874,8.06871619271478
"PL0280",1997,2925,48854,16491,132393,137753,2441,"1935",24,1,"manufacturing",0.337556801899537,1935,10.7965915374349,7.98104975966596,11.8332175053624
"PL0280",1998,2929,58491,18353,133112,143871,2441,"1935",24,1,"manufacturing",0.313774768767845,1935,10.9766281752306,7.98241634682773,11.8766723437263
"PL0280",2000,2850,45645,26167,137873,176440,2441,"1935",24,1,"manufacturing",0.57327199036039,1935,10.7286493509992,7.9550742732627,12.0807361542189
"PL0293",2000,206,919,941,3159,1593,3161,"1947",31,1,"manufacturing",1.02393906420022,1947,6.82328612235569,5.32787616878958,7.37337430991005
"PL0293",1998,321,1500,1171,4775,2442,3161,"1947",31,1,"manufacturing",0.780666666666667,1947,7.3132203870903,5.77144112313002,7.80057265467065
"PL0293",1997,305,2016,1159,4403,1911,3161,"1947",31,1,"manufacturing",0.574900793650794,1947,7.60887062919126,5.72031177660741,7.55538194424027
"PL0293",1999,268,1024,1128,3640,1629,3161,"1947",31,1,"manufacturing",1.1015625,1947,6.93147180559945,5.59098698051086,7.39572160860205
"PL0294",2000,40,1396,770,28286,8674,1551,"1989",15,1,"manufacturing",0.551575931232092,1989,7.24136628332232,3.68887945411394,9.06808532439531
"PL0294",1998,40,477,258,7011,2758,1551,"1989",15,1,"manufacturing",0.540880503144654,1989,6.16751649088834,3.68887945411394,7.92226105835325
"PL0294",1999,40,895,605,15983,5664,1551,"1989",15,1,"manufacturing",0.675977653631285,1989,6.79682371827486,3.68887945411394,8.64188563537355
"PL0325",1997,35,426,262,20559,3418,5118,"1989",51,2,"services",0.615023474178404,1989,6.05443934626937,3.55534806148941,8.13681086367554
"PL0354",1999,130,868,521,6730,2251,6330,"1983",63,2,"services",0.600230414746544,1983,6.76619171466035,4.86753445045558,7.71912984090673
"PL0354",2000,128,1069,563,6399,2590,6330,"1983",63,2,"services",0.5266604303087,1983,6.97447891102505,4.85203026391962,7.85941315469358
"PL0359",1997,8356,76775,49274,568956,628133,7415,"1948",74,2,"services",0.641797460110713,1948,11.248634345309,9.03073512267646,13.3505072064669
"PL0359",2000,90,13744,2516,418504,569062,7415,"1948",74,2,"services",0.183061699650757,1948,9.52835764422404,4.49980967033027,13.2517446702656
"PL0359",1999,7231,98876,60075,446454,422866,7415,"1948",74,2,"services",0.607579190096687,1948,11.5016218187988,8.88613261817495,12.9548106229715
"PL0359",1998,8250,101270,56924,561213,537674,7415,"1948",74,2,"services",0.562101313320825,1948,11.5255454963263,9.01796847932873,13.1950077075279
"PL0359",1996,7825,74645,49384,483931,560199,7415,"1948",74,2,"services",0.661584834885123,1948,11.2204988214877,8.96507901540835,13.2360473567298
"PL0390",1997,35,1148,480,4420,7802,5143,"1972",51,2,"services",0.418118466898955,1972,7.04577657687951,3.55534806148941,8.9621353900666
"PL0399",1997,100,729,483,23410,6688,5170,"1945",51,2,"services",0.662551440329218,1945,6.59167373200866,4.60517018598809,8.80807015476454
"PL0410",1997,332,17188,4184,815765,210288,5248,"1951",52,2,"services",0.243425645799395,1951,9.75196674489489,5.80513496891649,12.2562332987218
"PL0410",2000,307,20286,5473,885522,235608,5248,"1951",52,2,"services",0.269791974760919,1951,9.91768627193594,5.7268477475872,12.3699246860405
"PL0428",1997,90,13481,1440,5958,21739,7020,"1974",70,2,"services",0.106817001706105,1974,9.50903656569106,4.49980967033027,9.98686316145718
"PL0428",1996,259,969,1698,5661,57477,7020,"1974",70,2,"services",1.75232198142415,1974,6.87626461189077,5.55682806169954,10.9591401467641
"PL0433",2001,286,6790,3650,11508,9332,7420,"1945",74,2,"services",0.537555228276878,1945,8.82320622055274,5.65599181081985,9.14120463314132
"PL0433",2000,286,5226,3499,10757,7707,7420,"1945",74,2,"services",0.669536930730961,1945,8.56140144608056,5.65599181081985,8.94988428577799
"PL0440",1998,380,2161,1889,10754,6232,3410,"1968",34,1,"manufacturing",0.874132346136048,1968,7.67832635650689,5.94017125272043,8.73745258755058
"PL0444",2001,680,10509,5679,47120,45209,2121,"1971",21,1,"manufacturing",0.540393948044533,1971,9.2599873118656,6.52209279817015,10.7190514610438
"PL0444",2000,680,4293,4921,38223,34737,2121,"1971",21,1,"manufacturing",1.1462846494293,1971,8.36474106822456,6.52209279817015,10.4555606802804
"PL0444",1999,725,276,4181,36447,33263,2121,"1971",21,1,"manufacturing",15.1485507246377,1971,5.62040086571715,6.58617165485467,10.4122009471158
"PL0447",2001,1529,110510,22876,1527377,579307,2320,"1972",23,1,"manufacturing",0.207003891050584,1972,11.6128612935828,7.33236920592906,13.2695878405608
"PL0447",2000,1529,157092,21671,1690483,725795,2320,"1972",23,1,"manufacturing",0.13795100959947,1972,11.9645868999681,7.33236920592906,13.4950228847873
"PL0447",1999,1646,80759,19917,1192883,683524,2320,"1972",23,1,"manufacturing",0.246622667442638,1972,11.2992246899826,7.40610338123702,13.4350170479167
"PL0454",2001,530,14000,5016,165515,42655,5146,"1945",51,2,"services",0.358285714285714,1945,9.5468126085974,6.27287700654617,10.6608997793428
"PL0454",2000,530,7303,4829,156680,55588,5146,"1945",51,2,"services",0.661235108859373,1945,8.89604050162011,6.27287700654617,10.9257226296065
"PL0454",1998,514,10453,3930,173411,51135,5146,"1945",51,2,"services",0.375968621448388,1945,9.25464429753271,6.24222326545517,10.8422244732401
"PL0454",1999,500,6728,4634,141212,4319,5146,"1945",51,2,"services",0.688763376932224,1945,8.81403320165278,6.21460809842219,8.3707791729607
"PL0454",1997,500,9126,3401,175653,48377,5146,"1945",51,2,"services",0.372671488056103,1945,9.11888276148735,6.21460809842219,10.7867797731467
"PL0457",2000,47,1268,343,17871,15071,3220,"1982",32,1,"manufacturing",0.270504731861199,1982,7.14519613499717,3.85014760171006,9.62052764641968
"PL0461",1999,426,3072,2361,11482,12128,2521,"1946",25,1,"manufacturing",0.7685546875,1946,8.03008409426756,6.05443934626937,9.40327210788215
"PL0461",2000,354,3115,2395,14108,12483,2521,"1946",25,1,"manufacturing",0.768860353130016,1946,8.04398443122155,5.86929691313377,9.43212299765105
"PL0461",1998,460,3666,2380,14684,14239,2521,"1946",25,1,"manufacturing",0.649208947081288,1946,8.20685642839965,6.13122648948314,9.56373995778099
"PL0461",1997,471,3904,2235,13298,13493,2521,"1946",25,1,"manufacturing",0.572489754098361,1946,8.26975694753298,6.15485809401642,9.50992631143079
"PL0465",1997,12,218,136,577,1163,6523,"1989",65,2,"services",0.623853211009174,1989,5.38449506278909,2.484906649788,7.05875815251866
"PL0469",1998,1565,2939,5232,15957,27588,2524,"1924",25,1,"manufacturing",1.78019734603607,1924,7.98582466641892,7.35564110297425,10.2251361745512
"PL0469",1999,1167,2464,5136,11638,25981,2524,"1924",25,1,"manufacturing",2.08441558441558,1924,7.80954132465341,7.06219163228656,10.1651207806309
"PL0469",1997,1600,1074,4489,14810,27386,2524,"1924",25,1,"manufacturing",4.17970204841713,1924,6.97914527506881,7.37775890822787,10.2177872128922
"PL0478",1998,118,431,251,4916,1244,1511,"1990",15,1,"manufacturing",0.582366589327146,1990,6.06610809010375,4.77068462446567,7.12608727329912
"PL0478",1999,141,575,416,4819,1318,1511,"1990",15,1,"manufacturing",0.723478260869565,1990,6.35437004079735,4.94875989037817,7.18387071506245
"PL0478",1997,130,331,219,4840,1201,1511,"1990",15,1,"manufacturing",0.661631419939577,1990,5.80211837537706,4.86753445045558,7.09090982207998
"PL0484",2001,748,12449,6642,86735,44755,1543,"1951",15,1,"manufacturing",0.533536830267491,1951,9.42939557738179,6.61740297797448,10.708958449305
"PL0484",2000,748,11116,5825,72547,36932,1543,"1951",15,1,"manufacturing",0.524019431450162,1951,9.31614079086239,6.61740297797448,10.5168336628925
"PL0484",1998,799,6863,5099,93322,45700,1543,"1951",15,1,"manufacturing",0.742969546845403,1951,8.83389994290864,6.68336094576627,10.7298535768823
"PL0484",1996,806,11660,4818,100758,49729,1543,"1951",15,1,"manufacturing",0.413207547169811,1951,9.36391945990448,6.69208374250663,10.8143435429202
"PL0484",1999,785,6568,5524,63775,30505,1543,"1951",15,1,"manufacturing",0.841047503045067,1951,8.78996465113226,6.66568371778241,10.325645883586
"PL0486",1998,1430,13417,7856,91493,21193,9234,"1949",92,2,"services",0.585525825445331,1949,9.50427783859047,7.26542972325395,9.96142621745657
"PL0486",2000,1238,15027,9423,107525,23454,9234,"1949",92,2,"services",0.62707127171092,1949,9.61760386202573,7.12125245324454,10.062796335021
"PL0486",1999,1383,15086,9233,90609,20434,9234,"1949",92,2,"services",0.612024393477396,1949,9.62152244041358,7.23201033166476,9.92495545915137
"PL0486",1997,1248,10900,5278,76103,11847,9234,"1949",92,2,"services",0.484220183486239,1949,9.29651806821724,7.12929754892937,9.37982994995476
"PL0488",2000,1915,42623,18051,129232,114992,4030,"",40,1,"manufacturing",0.423503742111067,NA,10.6601492926639,7.55747290161475,11.6526178397082
"PL0488",2001,1865,40659,20976,106137,140468,4030,"",40,1,"manufacturing",0.515900538626134,NA,10.6129754926841,7.53101633207792,11.852734983808
"PL0495",1999,29,387,257,5365,1988,5245,"1989",52,2,"services",0.664082687338501,1989,5.95842469302978,3.36729582998647,7.59488438721652
"PL0495",2000,46,439,309,4797,2246,5245,"1989",52,2,"services",0.703872437357631,1989,6.08449941307517,3.8286413964891,7.71690613529839
"PL0495",2001,46,387,357,5362,1820,5245,"1989",52,2,"services",0.922480620155039,1989,5.95842469302978,3.8286413964891,7.50659178007084
"PL0495",1997,18,245,224,5413,1385,5245,"1989",52,2,"services",0.914285714285714,1989,5.50125821054473,2.89037175789616,7.23345541862144
"PL0501",2001,404,2264,1793,6565,5326,1930,"1952",19,1,"manufacturing",0.791961130742049,1952,7.72488843932307,6.00141487796115,8.58035576637388
"PL0501",1998,560,3895,2480,11278,6583,1930,"1952",19,1,"manufacturing",0.636713735558408,1952,8.26744895830485,6.32793678372919,8.79224584746788
"PL0503",1999,100,780,700,4691,729,4521,"1954",45,1,"manufacturing",0.897435897435897,1954,6.65929391968364,4.60517018598809,6.59167373200866
"PL0503",1998,116,1278,1079,4320,5311,4521,"1954",45,1,"manufacturing",0.844287949921753,1954,7.15305163493748,4.75359019110636,8.5775354204224
"PL0505",1999,93,608,506,9091,3771,5143,"1987",51,2,"services",0.832236842105263,1987,6.41017488196617,4.53259949315326,8.23509549725836
"PL0505",2000,66,520,463,8646,3304,5143,"1987",51,2,"services",0.890384615384615,1987,6.25382881157547,4.18965474202643,8.10288913464087
"PL0507",2001,100,773,742,4784,775,9271,"1992",92,2,"services",0.959896507115136,1992,6.65027904858742,4.60517018598809,6.65286302935335
"PL0507",1996,297,1053,927,12303,1247,9271,"1992",92,2,"services",0.88034188034188,1992,6.95939851213398,5.6937321388027,7.12849594568004
"PL0507",2000,100,894,755,5019,684,9271,"1992",92,2,"services",0.844519015659955,1992,6.79570577517351,4.60517018598809,6.52795791762255
"PL0507",1999,134,890,880,5881,848,9271,"1992",92,2,"services",0.98876404494382,1992,6.79122146272619,4.89783979995091,6.7428806357919
"PL0515",1998,2596,48736,14806,299892,375490,4030,"1952",40,1,"manufacturing",0.303800065659882,1952,10.7941732556949,7.86172707782398,12.8359871186733
"PL0515",2001,2434,67499,21874,308740,352667,4030,"1952",40,1,"manufacturing",0.324064060208299,1952,11.1198680619361,7.79729127354747,12.7732795479114
"PL0515",1996,2891,50058,13832,328955,426640,4030,"1952",40,1,"manufacturing",0.276319469415478,1952,10.8209376121301,7.96935774201635,12.9636958452745
"PL0537",2000,192,2020,1240,11753,7107,6025,"1989",60,2,"services",0.613861386138614,1989,7.61085279039525,5.25749537202778,8.86883549282689
"PL0537",1999,157,1699,947,7935,6721,6025,"1989",60,2,"services",0.557386698057681,1989,7.43779512167193,5.05624580534831,8.81299223196997
"PL0547",2001,3200,34638,32284,55323,53356,8030,"1945",80,2,"services",0.932039956117559,1945,10.452706624289,8.07090608878782,10.8847417152609
